Date,Cumulative total
3/7/2020,1
3/8/2020,2
3/9/2020,2
3/10/2020,4
3/11/2020,5
3/12/2020,10
3/13/2020,19
3/14/2020,25
3/15/2020,37
3/16/2020,50
3/17/2020,59
3/18/2020,70
3/19/2020,100
3/20/2020,118
3/21/2020,143
3/22/2020,197
3/23/2020,232
3/24/2020,283
3/25/2020,341
3/26/2020,417
3/27/2020,488
3/28/2020,519
3/29/2020,603
3/30/2020,734
3/31/2020,849
4/1/2020,966
4/2/2020,1112
4/3/2020,1209
4/4/2020,1326
4/5/2020,1404
4/6/2020,1454
4/7/2020,1530
4/8/2020,1628
4/9/2020,1693
4/10/2020,1761
4/11/2020,1804
4/12/2020,1847
4/13/2020,1930
4/14/2020,2012
4/15/2020,2087
4/16/2020,2158
4/17/2020,2213
4/18/2020,2268
4/19/2020,2325
4/20/2020,2434
4/21/2020,2491
4/22/2020,2643
4/23/2020,2826
4/24/2020,2943
4/25/2020,3043
4/26/2020,3141
4/27/2020,3314
4/28/2020,3432
4/29/2020,3564
4/30/2020,3711
5/1/2020,3842
5/2/2020,3927
5/3/2020,4020
5/4/2020,4160
5/5/2020,4319
5/6/2020,4429
5/7/2020,4662
5/8/2020,4776
5/9/2020,4926
5/10/2020,5065
5/11/2020,5161
5/12/2020,5278
5/13/2020,5391
5/14/2020,5523
5/15/2020,5662
5/16/2020,5836
5/17/2020,5946
5/18/2020,6026
5/19/2020,6140
5/20/2020,6315
5/21/2020,6434
5/22/2020,6559
5/23/2020,6701
5/24/2020,6797
5/25/2020,6882
5/26/2020,6983
5/27/2020,7100
5/28/2020,7240
5/29/2020,7385
5/30/2020,7481
5/31/2020,7554
6/1/2020,7674
6/2/2020,7798
6/3/2020,7940
6/4/2020,8180
6/5/2020,8345
6/6/2020,8476
6/7/2020,8619
6/8/2020,8729
6/9/2020,8837
6/10/2020,8998
6/11/2020,9130
6/12/2020,9314
6/13/2020,9440
6/14/2020,9610
6/15/2020,9730
6/16/2020,9854
6/17/2020,10092
6/18/2020,10350
6/19/2020,10484
6/20/2020,10794
6/21/2020,11096
6/22/2020,11294
6/23/2020,11626
6/24/2020,11961
6/25/2020,12401
6/26/2020,12837
6/27/2020,13334
6/28/2020,13832
6/29/2020,14149
6/30/2020,14623
7/1/2020,15207
7/2/2020,15696
7/3/2020,16164
7/4/2020,16726
7/5/2020,17000
7/6/2020,17578
7/7/2020,17842
7/8/2020,18402
7/9/2020,18863
7/10/2020,19371
7/11/2020,19929
7/12/2020,20348
7/13/2020,20887
7/14/2020,21446
7/15/2020,21855
7/16/2020,22489
7/17/2020,23114
7/18/2020,23682
7/19/2020,24135
7/20/2020,24520
7/21/2020,25107
7/22/2020,25608
7/23/2020,26098
7/24/2020,26701
7/25/2020,26984
7/26/2020,27507
7/27/2020,28005
7/28/2020,28287
7/29/2020,28668
7/30/2020,29048
7/31/2020,29577
8/1/2020,29883
8/2/2020,30226
8/3/2020,30516
8/4/2020,30864
8/5/2020,31127
8/6/2020,31779
8/7/2020,32330
8/8/2020,32747
8/9/2020,32975
8/10/2020,33157
8/11/2020,33393
8/12/2020,33659
8/13/2020,34065
8/14/2020,34344
8/15/2020,34678
8/16/2020,34960
8/17/2020,35162
8/18/2020,35376
8/19/2020,35608
8/20/2020,35912
8/21/2020,36203
8/22/2020,36540
8/23/2020,36727
8/24/2020,36994
8/25/2020,37222
8/26/2020,37499
8/27/2020,37784
8/28/2020,38047
8/29/2020,38300
8/30/2020,38604
8/31/2020,38871
9/1/2020,39121
9/2/2020,39446
9/3/2020,39899
9/4/2020,40342
9/5/2020,40650
9/6/2020,40866
9/7/2020,41077
9/8/2020,41324
9/9/2020,41608
9/10/2020,41969
9/11/2020,42414
9/12/2020,42679
9/13/2020,42887
9/14/2020,43181
9/15/2020,43445
9/16/2020,43619
9/17/2020,44007
9/18/2020,44293
9/19/2020,44577
9/20/2020,44925
9/21/2020,45147
9/22/2020,45425
9/23/2020,45596
9/24/2020,46001
9/25/2020,46331
9/26/2020,46610
9/27/2020,46734
9/28/2020,46985
9/29/2020,47180
9/30/2020,47485
10/1/2020,47791
10/2/2020,48200
10/3/2020,48436
10/4/2020,48660
10/5/2020,48821
10/6/2020,49175
10/7/2020,49466
10/8/2020,49823
10/9/2020,50143
10/10/2020,50551
10/11/2020,50746
10/12/2020,51024
10/13/2020,51327
10/14/2020,51470
10/15/2020,51781
10/16/2020,51982
10/17/2020,52355
10/18/2020,52735
10/19/2020,53000
10/20/2020,53263
10/21/2020,53498
10/22/2020,53928
10/23/2020,54314
10/24/2020,54583
10/25/2020,54941
10/26/2020,55210
10/27/2020,55540
10/28/2020,55898
10/29/2020,56369
10/30/2020,56750
10/31/2020,57102
11/1/2020,57409
11/2/2020,57702
11/3/2020,58106
11/4/2020,58636
11/5/2020,59116
11/6/2020,59656
11/7/2020,60169
11/8/2020,60570
11/9/2020,61053
11/10/2020,61714
11/11/2020,62334
11/12/2020,62945
11/13/2020,63681
11/14/2020,64768
11/15/2020,65601
11/16/2020,66319
11/17/2020,67241
11/18/2020,68140
11/19/2020,69231
11/20/2020,70709
11/21/2020,71648
11/22/2020,72815
11/23/2020,74361
11/24/2020,75305
11/25/2020,76357
11/26/2020,78159
11/27/2020,80018
11/28/2020,81084
11/29/2020,82043
11/30/2020,83421
12/1/2020,84638
12/2/2020,86142
12/3/2020,88181
12/4/2020,90468
12/5/2020,92171
12/6/2020,94169
12/7/2020,95445
12/8/2020,97549
12/9/2020,99599
12/10/2020,102466
12/11/2020,104956
12/12/2020,107372
12/13/2020,109578
12/14/2020,111441
12/15/2020,114248
12/16/2020,116852
12/17/2020,120463
12/18/2020,122972
12/19/2020,126465
12/20/2020,129717
12/21/2020,132098
12/22/2020,134696
12/23/2020,136955
12/24/2020,139961
12/25/2020,142647
12/26/2020,145779
12/27/2020,147530
12/28/2020,150064
12/29/2020,152512
12/30/2020,155595
12/31/2020,160073
1/1/2021,164500
1/2/2021,168020
1/3/2021,171033
1/4/2021,172847
1/5/2021,176662
1/6/2021,180512
1/7/2021,185062
1/8/2021,188600
1/9/2021,191888
1/10/2021,194795
1/11/2021,198319
1/12/2021,201580
1/13/2021,204175
1/14/2021,206870
1/15/2021,209897
1/16/2021,211787
1/17/2021,214337
1/18/2021,216835
1/19/2021,218555
1/20/2021,219731
1/21/2021,222578
1/22/2021,225558
1/23/2021,227195
1/24/2021,228632
1/25/2021,230066
1/26/2021,231481
1/27/2021,232970
1/28/2021,234640
1/29/2021,236768
1/30/2021,238042
1/31/2021,239124
2/1/2021,240050
2/2/2021,241018
2/3/2021,242616
2/4/2021,244069
2/5/2021,245334
2/6/2021,246564
2/7/2021,247262
2/8/2021,248051
2/9/2021,248861
2/10/2021,249974
2/11/2021,250791
2/12/2021,251682
2/13/2021,252250
2/14/2021,252943
2/15/2021,253641
2/16/2021,254180
2/17/2021,254990
2/18/2021,255802
2/19/2021,256513
2/20/2021,257030
2/21/2021,257351
2/22/2021,257805
2/23/2021,258463
2/24/2021,258982
2/25/2021,259644
2/26/2021,260094
2/27/2021,260356
2/28/2021,260625
3/1/2021,261001
3/2/2021,261353
3/3/2021,261861
3/4/2021,262360
3/5/2021,262781
3/6/2021,262968
3/7/2021,263275
3/8/2021,263748
3/9/2021,264097
3/10/2021,264527
3/11/2021,264889
3/12/2021,265273
3/13/2021,265471
3/14/2021,265649
3/15/2021,265906
3/16/2021,266317
3/17/2021,266756
3/18/2021,267177
3/19/2021,267536
3/20/2021,267728
3/21/2021,267917
3/22/2021,268160
3/23/2021,268417
3/24/2021,268627
3/25/2021,269049
3/26/2021,269275
3/27/2021,269480
3/28/2021,269770
3/29/2021,269997
3/30/2021,270287
3/31/2021,270539
4/1/2021,271035
4/2/2021,271334
4/3/2021,271527
4/4/2021,271654
4/5/2021,271866
4/6/2021,272194
4/7/2021,272494
4/8/2021,272696
4/9/2021,273057
4/10/2021,273286
4/11/2021,273430
4/12/2021,273708
4/13/2021,273968
4/14/2021,274249
4/15/2021,274566
4/16/2021,274811
4/17/2021,274960
4/18/2021,275112
4/19/2021,275368
4/20/2021,275631